"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.005340000E0,1.586700439E-1,2.538720703E-1,9.698481903E0,9.703101485E0
3.015296000E0,1.437011719E-1,2.486329651E-1,9.704918518E0,9.709166381E0
3.025252000E0,1.565744019E-1,2.549198914E-1,9.699080658E0,9.703693385E0
3.035208000E0,1.612147522E-1,2.517764282E-1,9.685458984E0,9.690072100E0
3.045164000E0,1.622625732E-1,2.460882568E-1,9.718989258E0,9.723458272E0
3.055120000E0,1.672023010E-1,2.553689575E-1,9.702523499E0,9.707323635E0
3.065076000E0,1.637594604E-1,2.592608643E-1,9.702074432E0,9.706919267E0
3.075032000E0,1.591191101E-1,2.390528870E-1,9.710007935E0,9.714253407E0
3.084988000E0,1.772314453E-1,2.598596191E-1,9.704918518E0,9.710014493E0
3.094944000E0,1.595681763E-1,2.582130432E-1,9.715247040E0,9.719987707E0
3.104900000E0,1.496887207E-1,2.549198914E-1,9.689949646E0,9.694457953E0
3.114856000E0,1.520837402E-1,2.445913696E-1,9.706265717E0,9.710538016E0
3.124812000E0,1.697470093E-1,2.450404358E-1,9.701176300E0,9.705755018E0
3.134768000E0,1.589694214E-1,2.393522644E-1,9.686506805E0,9.690767507E0
3.144724000E0,1.535806274E-1,2.414479065E-1,9.704768829E0,9.708986669E0
3.154680000E0,1.710942078E-1,2.362088013E-1,9.705068207E0,9.709449867E0
3.164636000E0,1.612147522E-1,2.463876343E-1,9.701176300E0,9.705643650E0
3.174592000E0,1.486408997E-1,2.480342102E-1,9.696236572E0,9.700547343E0
3.184548000E0,1.634600830E-1,2.439926147E-1,9.693093109E0,9.697541215E0
3.194504000E0,1.585203552E-1,2.541714478E-1,9.698032837E0,9.702658024E0
3.204460000E0,1.660047913E-1,2.466870117E-1,9.700577545E0,9.705133527E0
